Pallet,"Month, Year",Timestamp,Item (ex. Surgical Gloves),Manufacturer ,Quantity (ex. 200),Expiration date (ex. 12/31/2024),Category,Notes,Pallet Number (Blueprints member will give this),Box Number (Blueprints member will give this)
,,1/19/2024 15:51:56,Needle,BD,1,6/30/2023,Syringe/needles,,11,13
,,1/19/2024 15:52:30,Personal Use Pack,OC-Auto,7,11/25/2023,,,11,21
,,1/19/2024 15:52:36,Gravity Burette,BD,3,,Syringe/needles,,11,21
,,1/19/2024 15:52:45,foley catheter,Bardex,7,3/31/2023,Catheters/tubing,,11,21
,,1/19/2024 15:52:54,Big syringe ,No manufacturer listed,10,,Syringe/needles,,11,20
,,1/19/2024 15:53:30,Maxguard Bi-fuse extension set,BD,4,2/8/2027,Catheters/tubing,,11,22
,,1/19/2024 15:53:40,Gravity Burette Set,BD,2,,Syringe/needles,,11,21
,,1/19/2024 15:54:13,Gravity Burette Set,BD,1,,Syringe/needles,,11,21
,,1/19/2024 15:54:15,5ml Syringe,BD,32,3/31/2023,Syringe/needles,,11,21
,,1/19/2024 15:54:44,PCA Administration Kit,BD,50,10/13/2025,Catheters/tubing,,11,23
,,1/19/2024 15:54:58,Allevyn classic,Smith&nephew,10,3/1/2023,Bandages/gauze,,11,22
,,1/19/2024 15:54:59,Pressure Injectable Arrowg+ard Blue Plus Three-Lumrn CVC kit,Arrow,5,7/31/2023,Surgical,,11,26
,,1/19/2024 15:55:55,Bear hugger,3M,10,11/14/2026,Other,,11,20
,,1/19/2024 15:55:58,10ml syringe ,BD,14,12/31/2023,Syringe/needles,,11,21
,,1/19/2024 15:56:22,ROCH-PEAN FORCEPS,sklar,2,1/28/2023,,,11,21
,,1/19/2024 15:56:31,Luer Lock Plug,Smiths Medical,210,4/9/2026,Other,,11,22
,,1/19/2024 15:56:33,Foley catheter tray,Bard,1,11/30/2023,Catheters/tubing,,11,21
,,1/19/2024 15:56:50,oral/nasal tracheal tube cuffed,coviden,1,4/1/2027,Catheters/tubing,,11,21
,,1/19/2024 15:57:34,Urethral Catheterization Tray,Bard,1,5/31/2023,Catheters/tubing,,11,21
,,1/19/2024 15:58:20,IV catheter,BD,50,2/28/2026,Catheters/tubing,,11,20
,,1/19/2024 15:58:20,patient slippers,halyard,2,,Other,,11,21
,,1/19/2024 15:58:24,3ml syringe ,BD,46,9/30/2028,Syringe/needles,,11,21
,,1/19/2024 15:58:34,U-Bag urine collectors,Mabis,5,7/1/2025,Catheters/tubing,,11,22
,,1/19/2024 15:59:04,PCA Administration Kit,BD,44,10/5/2026,Catheters/tubing,,11,25
,,1/19/2024 15:59:11,Patient gown,Gentherm,1,,Other,,11,21
,,1/19/2024 15:59:21,Swab specimens collection kit ,aptima,3,10/31/2023,,,11,21
,,1/19/2024 15:59:23,DLP Perfusion Adapter,Medtronic,18,8/23/2026,Syringe/needles,,11,27
,,1/19/2024 15:59:30,Oral Syringe,Avanos ,18,2/9/2026,Catheters/tubing,,11,25
,,1/19/2024 15:59:43,Side shields for prescription glasses,Deroyal,10,,Hygiene,,11,22
,,1/19/2024 16:00:10,Patient slippers,Halyard,2,,Other,,11,21
,,1/19/2024 16:00:33,5ml syringe ,BD,15,10/31/2028,Syringe/needles,,11,21
,,1/19/2024 16:00:39,protected disposable scalpels,bard parker,4,6/20/2023,Surgical,,11,21
,,1/19/2024 16:00:43,Silver nitrate applicators ,Grafco ,100,,Diagnostic,,11,27
,,1/19/2024 16:01:00,Face Shields,No manufacturer listed,2,,PPE,,11,27
,,1/19/2024 16:01:04,safety glide needle ,BD,2,6/30/2028,,,11,21
,,1/19/2024 16:01:20,Foley Tray System ,Bard Medical,2,2/28/2026,Catheters/tubing,,11,25
,,1/19/2024 16:01:27,Gloves (XL),Sending care Ice,230,,Hygiene,,11,27
,,1/19/2024 16:01:34,Tracheostomy ,Smith & Nephew,9,3/1/2026,Bandages/gauze,,11,25
,,1/19/2024 16:01:41,Tear away gown,,10,,Surgical,,11,27
,,1/19/2024 16:01:49,Valve cap,Carefusion,6,5/5/2028,Catheters/tubing,,11,22
,,1/19/2024 16:01:53,Luer lock-to-urethra tip adapter,Baxter,4,2/28/2026,Other,,11,25
,,1/19/2024 16:02:03, 50 mL syringe,BD,1,7/31/2028,Syringe/needles,,11,21
,,1/19/2024 16:02:17,IV catheter 3.25 in,BD,1,7/31/2028,Catheters/tubing,,11,21
,,1/19/2024 16:02:39,Wireless Chair Sensor pad,Posey,1,,Other,,11,27
,,1/19/2024 16:02:46,athletic supporter,actimove,1,,,,11,21
,,1/19/2024 16:02:52,IV catheter 1.75 in,BD,1,11/1/2022,Catheters/tubing,,11,21
,,1/19/2024 16:03:07,Solution Set,Clear link System,2,,Syringe/needles,,11,27
,,1/19/2024 16:03:09,Child’s face mask ,Halyard ,75,,Hygiene,,11,27
,,1/19/2024 16:03:14,Diapers ,Pampers,4 packs,,Hygiene,20 diapers per pack,11,25
,,1/19/2024 16:03:15,Gravity Burette Set,BD,4,8/2/2026,Catheters/tubing,,11,25
,,1/19/2024 16:03:20,Surgical gloves ,Molnlycke,2,3/28/2026,Surgical,,11,22
,,1/19/2024 16:03:31,Stomach Tube,Covidien ,14,3/31/2028,Catheters/tubing,,11,25
,,1/19/2024 16:03:38,IV catheter 1.77 in,BD,2,2/28/2026,Catheters/tubing,,11,21
,,1/19/2024 16:03:42,Laser Oral Tracheal Tube,Covidien,1,1/15/2025,Other,,11,27
,,1/19/2024 16:03:47,Diapers ,Pampers,4 packs,,Hygiene,20 diapers per pack,11,25
,,1/19/2024 16:04:17,Suture needle,Ethicon,1,10/31/2026,Syringe/needles,,11,22
,,1/19/2024 16:04:21,Shielded IV catheter,BD,2,4/30/2026,Catheters/tubing,,11,21
,,1/19/2024 16:04:53,Muslin Gauze Towel,DeRoyal,1,8/28/2028,Bandages/gauze,,11,25
,,1/19/2024 16:04:53,Spinal Needle,spinocan,1,6/30/2028,Syringe/needles,,11,21
,,1/19/2024 16:04:53,Procedure Mask,MediChoice,50,9/9/2024,PPE,,11,27
,,1/19/2024 16:05:08,EKG Electrode,,8,,Diagnostic,,11,17
,,1/19/2024 16:05:15,Spring Wire Guide with Arrow Advancer,Arrow,2,8/31/2023,Catheters/tubing,,11,27
,,1/19/2024 16:05:18,Fog free surgical mask,Halyard,25,1/11/0024,Surgical,,11,27
,,1/19/2024 16:05:32,shielded iv catheter 1.88 in,BD,1,2/28/2026,Catheters/tubing,,11,21
,,1/19/2024 16:05:39,Kangaroo,Covidien,17,12/31/2025,Other,,11,25
,,1/19/2024 16:05:41,Fluoride Toothpaste,DawnMist,10,5/6/2026,Hygiene,,11,21
,,1/19/2024 16:06:05,Luer lock to Luer lock connector,Baxter,18,6/30/2026,Catheters/tubing,,11,22
,,1/19/2024 16:06:09,Wee Soothie (pacifier),Philips,1,,Other,,11,25
,,1/19/2024 16:06:18,Decannulation Plug,Covidien Shiley,1,2/24/2027,Other,,11,25
,,1/19/2024 16:06:19,shielded iv catheter 1.16 in,BD,1,6/30/2026,Catheters/tubing,,11,21
,,1/19/2024 16:06:52,Heart Pillow (literally),Shumsky ,1,,Other,,11,25
,,1/19/2024 16:07:23,Suction Catheter with Chimney Valve,Cardinal Health,12,,Catheters/tubing,,11,22
,,1/19/2024 16:07:25,Tracheostomy Tube Cuddles with Inner Cannula,Covidien,1,2/24/2027,,,11,25
,,1/19/2024 16:07:31,PVC nasopharyngeal airway,PVC,1,6/28/2023,,,11,21
,,1/19/2024 16:07:34,Intubation Stylet,Teleflex Medical,2,4/19/2027,Catheters/tubing,,11,27
,,1/19/2024 16:07:34,Needle-Free Valves,BD,6,12/31/2024,Syringe/needles,,11,27
,,1/19/2024 16:07:39,Catch guard ,Arrow,1,,Catheters/tubing,,11,27
,,1/19/2024 16:07:48,Camera cover ,Advance,1,6/27/2027,Other,,11,25
,,1/19/2024 16:07:48,Blunt Fill Needle,BD,1,9/30/2028,Syringe/needles,,11,25
,,1/19/2024 16:07:50,All-purpose urethral catheter,Bard,1,,Catheters/tubing,,11,21
,,1/19/2024 16:08:13,PrimaFit device ,Stryker,1,,Hygiene,No expiration date,11,21
,,1/19/2024 16:08:24,Guiding catheter,Medtronic,1,12/22/2023,Catheters/tubing,,11,28
,,1/19/2024 16:08:36,Intubating Stylet,Teleflex,1,2/21/2028,Catheters/tubing,,11,27
,,1/19/2024 16:08:48,Shielded IV catheter 1.16 in,BD,1,10/1/2022,Catheters/tubing,,11,21
,,1/19/2024 16:08:55,Safety infusion set,Bard access ,5,4/10/2026,Catheters/tubing,,11,22
,,1/19/2024 16:09:37,Esophageal Stethescope,De Royal Industries,1,10/7/2025,Diagnostic,,11,27
,,1/19/2024 16:09:41,Argyle catheter,Argyle ,1,10/31/0027,Catheters/tubing,,11,27
,,1/19/2024 16:09:44,Electrophysiology catheter,Biosense Webster,1,1/29/2024,Catheters/tubing,,11,30
,,1/19/2024 16:10:44,1000ml canister for InfoVAC and VACULTA,KCl,1,7/31/2025,Catheters/tubing,,11,22
,,1/19/2024 16:10:59,ESwab,BD,1,10/17/2024,Diagnostic,,11,21
,,1/19/2024 16:11:04,spray bottle caps,No manufacturer listed,3,,,,11,21
,,1/19/2024 16:11:08,1,Boston Scientific,1,1/4/2024,Catheters/tubing,,11,20
,,1/19/2024 16:11:44,Spinal Needle,B Braun Medical ,2,6/30/2028,Syringe/needles,,11,22
,,1/19/2024 16:11:47,Needle (0.5mm x 16mm),BD,1,6/30/2028,Syringe/needles,,11,21
,,1/19/2024 16:11:49,Probe Covers,Sheathes Technologies Inc,75,1/1/2024,PPE,,11,27
,,1/19/2024 16:11:50,Intubating Stylet,Hudson RCI,1,2/21/2028,Catheters/tubing,,11,27
,,1/19/2024 16:11:58,Lumbar Puncture,Presource,2,5/1/2024,Surgical,,11,27
,,1/19/2024 16:12:32,removable IV connector ,BD,1,11/3/2026,Catheters/tubing,,11,21
,,1/19/2024 16:12:55,IV caps,3M,1 roll,,Other,,11,21
,,1/19/2024 16:13:27,Graduated Nurser,Mead Johnson,2,8/1/2028,Other,,11,22
,,1/19/2024 16:13:41,3mL Syringes,BD,10,11/30/2023,Syringe/needles,,11,27
,,1/19/2024 16:13:51,3ml syringe ,Lure lok,7,,Syringe/needles,,11,27
,,1/19/2024 16:14:16,Plastic (boot shaped),,29,,Other,,11,22
,,1/19/2024 16:14:23,Tracheostomy Tube Holders,Dale,10,6/30/2028,Catheters/tubing,Fits up to 46 cm neck,11,29
,,1/19/2024 16:14:59,Laryngeal Mask,Ambu ,19,6/25/2024,Catheters/tubing,,11,29
,,1/19/2024 16:15:16,Bronchoscope,GlideScope,1,1/13/2024,Catheters/tubing,,11,27
,,1/19/2024 16:15:18,Providone-Iodine Swabsticks,Medline,10,10/1/2023,Hygiene,,11,27
,,1/19/2024 16:15:26,Angiographic catheter,Merit Medical,1,1/12/2024,Catheters/tubing,,11,31
,,1/19/2024 16:15:45,Silicone Foley catheter 2-way,Coloplast,1,12/6/2027,Catheters/tubing,,11,22
,,1/19/2024 16:16:03,Sodium Flush Syringe,BD,3,3/31/2026,Syringe/needles,,11,27
,,1/19/2024 16:16:26,Angiographic catheter,Merit Medical,1,1/12/2024,Catheters/tubing,,11,33
,,1/19/2024 16:17:00,Elastic net,Medline,2,,Bandages/gauze,,11,22
,,1/19/2024 16:17:04,Tracheostomy Tube Cuffless with Inner Cannula,Covidien,5,8/14/2024,Catheters/tubing,,11,29
,,1/19/2024 16:17:12,Neonatal Needle,BD,30,5/31/2023,Syringe/needles,,11,27
,,1/19/2024 16:17:22,Exam Gloves,MediChoice,150,11/23/2023,PPE,,11,29
,,1/19/2024 16:17:55,Specula,Welch Allyn,15,,Diagnostic,,11,27
,,1/19/2024 16:18:29,anesthesia face masking ,ambu,1,10/3/2026,,,11,27
,,1/19/2024 16:18:35,2XL Exam Gloves,Medline,80,2/1/2023,PPE,,11,29
,,1/19/2024 16:18:37,cvc dressing kit,Medline,1,11/30/2024,PPE,,11,27
,,1/19/2024 16:18:44,Transseptal needle,St. Jude Medical,1,10/31/2023,Catheters/tubing,,11,32
,,1/19/2024 16:18:50,Endotracheal Tube Bite Block,BB medical technologies ,2,9/1/2028,Catheters/tubing,,11,22
,,1/19/2024 16:19:00,CVC Dressing Kit,Medline,1,11/30/2024,Surgical,,11,27
,,1/19/2024 16:19:03,Swab Specimen,Aptima,15,8/1/2027,Diagnostic,,11,27
,,1/19/2024 16:19:11,Laryngectomy Tube,Covidien shiley,3,6/7/2023,Catheters/tubing,,11,29
,,1/19/2024 16:19:19,Bair Hugger,3M,2,11/14/2026,Hygiene,Needs a warming unit,11,29
,,1/19/2024 16:19:37,Transseptal needle,Baylis,1,10/28/2023,Catheters/tubing,,11,34
,,1/19/2024 16:19:48,Bladder catheter tiemann ,Teleflex,2,7/31/2026,Catheters/tubing,,11,22
,,1/19/2024 16:19:59,Camera Cover,Advance,9,6/27/2027,Other,,11,29
,,1/19/2024 16:20:01,Safety infusion set,Bard Access Systems,2,8/31/2026,Other,,11,27
,,1/19/2024 16:20:33,3mL Applicator,BD,3,,Other,,11,27
,,1/19/2024 16:20:43,All-silicone Foley catheter ,Bard,2,10/10/2027,Catheters/tubing,,11,22
,,1/19/2024 16:20:50,Pinnacle,Terumo,1,1/1/2024,Catheters/tubing,,11,29
,,1/19/2024 16:20:58,StatCO2 Detector,Mercury Medical,3,10/26/2023,PPE,,11,27
,,1/19/2024 16:21:05,Foam Dressing,Medline,10,,PPE,,11,27
,,1/19/2024 16:21:10,Tracheostomy Tube XLT Cuffed,Covidien shiley,3,4/1/2022,Catheters/tubing,,11,29
,,1/19/2024 16:21:16,MiniLoc Saftey Infusion Set,Bard,3,1/14/2026,Other,,11,27
,,1/19/2024 16:21:47,Stylet kit,Medtronic,1,11/13/2019,Catheters/tubing,,11,29
,,1/19/2024 16:22:55,Smallbore tubing,BD,4,5/8/2023,Catheters/tubing,,11,27
,,1/19/2024 16:23:04,Dilator ,Cook Med,1,1/27/2024,Diagnostic,,11,29
,,1/19/2024 16:23:50,Silk adhesive with holes,,5,,Other,,11,22
,,1/19/2024 16:24:15,Tisseel Spray Set,Baxter,1,9/20/2025,Catheters/tubing,,11,29
,,1/19/2024 16:24:35,Oral/Nasal Tracheal Tube Cuffles,COVIDIEN,4,10/17/2023,Catheters/tubing,,11,27
,,1/19/2024 16:24:37,Dual Lumen Stomach Tube,Covidien,1,3/31/2028,Catheters/tubing,,11,29
,,1/19/2024 16:24:55,Foley Catheter,Bard,1,10/31/2026,Catheters/tubing,,11,22
,,1/19/2024 16:25:09,General Purpose Probe Cover,No manufacturer listed,2,,Surgical,,11,27
,,1/19/2024 16:25:13,Pads,No manufacturer listed,2 packs,,Hygiene,,11,29
,,1/19/2024 16:25:26,Single use layngeal mask,Ambu,1,12/17/2022,Other,,11,27
,,1/19/2024 16:25:28,Urological catheter,Bard,1,12/31/2027,Catheters/tubing,,11,22
,,1/19/2024 16:25:46,3M curos caps,3M,2 strips of 5,10/21/2026,Other,,11,27
,,1/19/2024 16:26:57,Microlaryngeal oral/nasal tracheal tube cuffed,Covidien,1,6/16/2027,Catheters/tubing,,11,22
,,1/19/2024 16:27:02,MF-Milipore MCE Membrane,Merek Milipore,10,7/1/2024,Other,,11,27
,,1/19/2024 16:27:07,COFLEX NL,3M,3,,Bandages/gauze,No expiration date listed,11,27
,,1/19/2024 16:27:18,IV catheter,Braun,2,6/1/2024,Catheters/tubing,,11,27
,,1/19/2024 16:27:29,Suction Sleeve,Stryker,18,5/5/2023,Surgical,,11,29
,,1/19/2024 16:27:41,Flex Connector,Avanos,1,6/6/2027,Other,,11,27
,,1/19/2024 16:27:46,SureStep Foley Tray System,Bard,1,2/28/2026,Catheters/tubing,,11,29
,,1/19/2024 16:28:20,Short nose clamp for outlet port of plastic container,Baxter,1,3/28/2028,Other,,11,22
,,1/19/2024 16:28:28,BD Neonatal Needle,BD,1,5/31/2023,Syringe/needles,,11,27
,,1/19/2024 16:29:03,Foley Catheter,Smiths,14,11/18/2023,Catheters/tubing,One manufactured by Covidien,11,29
,,1/19/2024 16:29:08,Suction tubing,Medichoice,1,3/1/2028,Catheters/tubing,,11,22
,,1/19/2024 16:29:39,Guedel airway,Medi choice,3,7/28/2023,Other,,11,27
,,1/19/2024 16:30:19,SureForm 60 reload,da Vinci Xi,3 boxes of 12,9/30/2023,Surgical,,11,29
,,1/19/2024 16:30:45,Spray bottle cap,No manufacturer listed,1,,Other,,11,22
,,1/19/2024 16:30:56,High Volume Tapered Cuffed Tracheal Tube ,Teleflex ,2,8/21/2028,Catheters/tubing,,11,27
,,1/19/2024 16:31:05,SorbaView SHIELD Medium,Centurion,5,8/31/2027,Surgical,,11,27
,,1/19/2024 16:31:12,Guedel airway,Medi choice,2,5/5/2023,Other,,11,27
,,1/19/2024 16:31:28,PPE apron,No manufacturer listed,1,,PPE,,11,22
,,1/19/2024 16:32:01,All purpose urethral catheter,Bard,2,7/31/2026,Catheters/tubing,,11,29
,,1/19/2024 16:32:26,Neon glasses case,Medichoice,1,,Other,,11,22
,,1/19/2024 16:32:27,Adhesive Pad,Medtronic,15,9/23/2023,Bandages/gauze,,11,29
,,1/19/2024 16:32:36,Intubating stylet ,Novaplus,2,1/24/2028,Other,,11,27
,,1/19/2024 16:32:36,3 mL applicator,BD,1,,Other,,11,27
,,1/19/2024 16:32:37,Blood Sampling Tube Holder,Safeset ,1,3/1/2023,Syringe/needles,,11,27
,,1/19/2024 16:32:46,Tongue Depressor,Medline,5,,Diagnostic,,11,27
,,1/19/2024 16:33:32,Bedpan,No manufacturer listed,1,,Hygiene,,11,27
,,1/19/2024 16:33:42,3 mL applicator,BD,1,,Other,,11,27
,,1/19/2024 16:33:56,Dental Rolls,Fabco ORS,8,9/30/2023,Bandages/gauze,,11,29
,,1/19/2024 16:34:08,Steri-Strip (reinforced skin closures),3M,30,4/5/2023,Bandages/gauze,,11,29
,,1/19/2024 16:34:21,Film Dressing,3M Health Care,5,3/17/2023,Bandages/gauze,,11,29
,,1/19/2024 16:34:34,6 Inch Monitoring Extension Set ,icumedical,1,1/1/2024,Diagnostic,,11,27
,,1/19/2024 16:34:52,Gastric tube,Vygon ,1,4/20/2022,Catheters/tubing,,11,29
,,1/19/2024 16:34:54,Tissue oximeter,ViOptix,1,11/30/2023,Diagnostic,,11,29
,,1/19/2024 16:34:54,Scalpel,Bard Parker ,1,8/31/2023,Surgical,,11,29
,,1/19/2024 16:35:29,Sampling line,Kingsystems,1,11/15/2026,Other,,11,27
,,1/19/2024 16:35:30,Surgical Skin Marker,Medline,1,,Surgical,,11,27
,,1/19/2024 16:35:31,Flex Tube,Teleflex,5,4/28/2023,Catheters/tubing,,11,27
,,1/19/2024 16:36:00,Steri-strip (reinforced skin closures),3M,9,5/5/2023,Bandages/gauze,,11,29
,,1/19/2024 16:36:01,Adhesive Fabric,BSN,2 (rolls),8/30/2023,Bandages/gauze,,11,29
,,1/19/2024 16:36:21,Silicone round drain,Bard,5,5/30/2023,Catheters/tubing,,11,29
,,1/19/2024 16:36:29,Adult EKG Electrode,Cleartrace,,3/26/2025,Diagnostic,,11,27
,,1/19/2024 16:36:35,Surgical Gloves,Medline,1,2/28/2026,Surgical,,11,27
,,1/19/2024 16:37:09,Straight Tubing Connector,Busse,2,5/30/2028,Catheters/tubing,,11,27
,,1/19/2024 16:37:37,Oil Emulsion Dressing,Curad,6,9/1/2023,Bandages/gauze,,11,29
,,1/19/2024 16:37:49,Disposable anesthesia face mask,Ambu,2,11/25/2026,PPE,,11,27
,,1/19/2024 16:37:49,Tegaderm +Pad,3M,1,,Other,,11,27
,,1/19/2024 16:38:00,Dry Tray,Medline,1,,Surgical,"Contains gloves, applicator, sponges, tray and forceps",11,29
,,1/19/2024 16:38:08,Black braided suture ,No manufacturer listed,1,7/21/2027,Other,,11,27
,,1/19/2024 16:38:16,Dual Lumen Stomach Tube ,COVIDIEN,1,,Catheters/tubing,,11,27
,,1/19/2024 16:38:27,PVC Nasopharyngeal Airway,Teleflex,2,10/28/2023,Catheters/tubing,,11,29
,,1/19/2024 16:39:25,SureForm 45 reload ,da Vinci Xi,6,4/30/2023,Surgical,,11,29
,,1/19/2024 16:39:34,Needle free IV connector ,Baxter,2,,Other,No expiration date,11,27
,,1/19/2024 16:39:36,Flexible Yankauer,Covidien ,1,,Catheters/tubing,,11,27
,,1/19/2024 16:40:21,Bi-fusion extension set ,BD,,4/24/2026,Surgical,,11,27
,,1/19/2024 16:40:31,Nylon,No manufacturer listed,6,6/10/2027,Surgical,,11,29
,,1/19/2024 16:41:14,High Speed RAD 55 curved bur dental,No manufacturer listed,2,10/17/2023,Surgical,,11,29
